make,model,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,injury_severity,aircraft_damage,broad_phase_of_flight,weather_condition,number_of_engines,engine_type,aircraft_category
Beech,B-23,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-31,8.0,0.0,0.0,0.0,Fatal(8),Destroyed,Unknown,UNK,2.0,Reciprocating,Airplane
Cessna,182,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Taxi,VMC,1.0,Reciprocating,Airplane
Robinson,R-22,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Helicopter
E.l. Craig,CRAIGCRAFT,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-181,1.0,3.0,0.0,0.0,Fatal(1),Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Piper,PA-39,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Cessna,182B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Hughes,269C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Helicopter
Eipper-formance,MX-II,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-18-125,0.0,1.0,0.0,1.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172P,2.0,1.0,1.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,320E,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
C. Eff,VARI-EZE,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Brantly,305,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Helicopter
Beech,H35,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
North American,F-51D,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
American,AA-5B,1.0,1.0,0.0,0.0,Fatal(1),Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-181,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Cruise,UNK,1.0,Reciprocating,Airplane
Cessna,310C,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Approach,VMC,2.0,Reciprocating,Airplane
Cessna,150F,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Maule,M-5-210C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-32-300,0.0,4.0,0.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,402B,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Taxi,VMC,2.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,3.0,1.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,J-3,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,172E,0.0,0.0,0.0,4.0,Incident,Minor,Taxi,VMC,1.0,Reciprocating,Airplane
Piper,J3C-65,0.0,0.0,0.0,4.0,Incident,Minor,Taxi,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Climb,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,4.0,0.0,0.0,0.0,Fatal(4),Substantial,Takeoff,IMC,1.0,Reciprocating,Airplane
Cassutt,111M,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Beech,B35,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
J.a.mullan,DRAGONFLY,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
De Havilland,DHC-3,0.0,0.0,0.0,1.0,Incident,Minor,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Grumman,G-164B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Quickie,TWO,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,337G,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Climb,VMC,2.0,Reciprocating,Airplane
Piper,PA-31P,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Approach,VMC,2.0,Reciprocating,Airplane
Grumman,G-164,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-180,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,170A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Bell,UH-1B,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Turbo Shaft,Helicopter
Beech,E90,0.0,0.0,0.0,2.0,Incident,Minor,Takeoff,VMC,2.0,Turbo Prop,Airplane
Beech,B99,0.0,0.0,0.0,2.0,Incident,Minor,Landing,VMC,2.0,Turbo Prop,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-161,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Bell,47D1,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Helicopter
Piper,PA-30,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Taxi,VMC,2.0,Reciprocating,Airplane
Ted Smith,601P,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,IMC,2.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,0.0,1.0,2.0,Non-Fatal,Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,150L,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,177,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Cessna,185,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172N,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Gulfstream,G-164B,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-28RT-201,0.0,0.0,1.0,0.0,Non-Fatal,Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,3.0,0.0,0.0,0.0,Fatal(3),Substantial,Unknown,IMC,1.0,Reciprocating,Airplane
Flagg,13,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Arctic Aircraft,S1B2,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,UNK,1.0,Reciprocating,Airplane
Luscombe,8A,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,177,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-31-350,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Takeoff,IMC,2.0,Reciprocating,Airplane
Cessna,177,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Descent,VMC,1.0,Reciprocating,Airplane
Cessna,172M,2.0,1.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,120,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-24-180,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Piper,PA-18-150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Fairchild,M-62A-3,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Piper,PA-38-112,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Vanhoose/scorpio,EXECUTIVE,0.0,0.0,1.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Helicopter
"Johnson, Douglas L.",JAYHAWK,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-181,0.0,2.0,1.0,0.0,Non-Fatal,Destroyed,Takeoff,IMC,1.0,Reciprocating,Airplane
Short Bros.,SC7 SERIES 3,0.0,0.0,1.0,2.0,Incident,Minor,Approach,VMC,2.0,Turbo Prop,Airplane
Grumman American,AA-1B,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Stinson,108-3,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Beech,B90,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Taxi,VMC,2.0,Turbo Prop,Airplane
Cessna,402B,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Piper,PA-32RT-300,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Unknown,IMC,1.0,Reciprocating,Airplane
Piper,PA-25-235,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-34-200T,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Cessna,P210N,4.0,0.0,0.0,0.0,Fatal(4),Destroyed,Climb,VMC,1.0,Reciprocating,Airplane
Beech,A23-19,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150B,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172P,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Piper,PA28-140,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,210E,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Climb,VMC,1.0,Reciprocating,Airplane
Beech,50,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172P,6.0,0.0,0.0,0.0,Fatal(6),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,177RG,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Fairchild,C-82,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Approach,VMC,2.0,Reciprocating,Airplane
Piper,PA-30,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,182D,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,210,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Swearingen,SA-226TC,0.0,0.0,2.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Turbo Prop,Airplane
Cessna,180B,1.0,2.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Rolladen-schneider,LS-1D,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Landing,VMC,0.0,Unknown,Glider
Gates Learjet,25,0.0,0.0,0.0,11.0,Non-Fatal,Minor,Cruise,VMC,2.0,Turbo Jet,Airplane
Cessna,T210G,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172H,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Beech,C23,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Schleicher,ASW-20,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,0.0,Unknown,Glider
Cessna,172,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-28RT-201T,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,T210,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,G35,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,J3C-65,2.0,0.0,0.0,0.0,Fatal(2),Substantial,Unknown,VMC,1.0,Reciprocating,Airplane
Gates Learjet,24D,0.0,0.0,0.0,11.0,Non-Fatal,Substantial,Cruise,VMC,2.0,Turbo Jet,Airplane
Froehlich,M-II,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Pitts,S1,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Unknown,VMC,1.0,Reciprocating,Airplane
Grumman,AA1,0.0,0.0,2.0,0.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Ercoupe,415C,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Bensen,M8M,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Gyrocraft
Cessna,172,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,2.0,0.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,310H,1.0,0.0,0.0,0.0,Fatal(1),Substantial,Approach,VMC,2.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Temco,GC-1B,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,172N,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Taxi,VMC,1.0,Reciprocating,Airplane
Grumman American,GA-7,1.0,0.0,1.0,0.0,Fatal(1),Destroyed,Approach,IMC,2.0,Reciprocating,Airplane
Cessna,182A,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Aerospatiale,S350D,2.0,0.0,0.0,0.0,Fatal(2),Substantial,Cruise,VMC,1.0,Turbo Shaft,Helicopter
Piper,J-3,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172H,0.0,4.0,0.0,0.0,Non-Fatal,Substantial,Descent,VMC,1.0,Reciprocating,Airplane
Beech,A23,1.0,0.0,1.0,0.0,Fatal(1),Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,421C,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Cessna,T337D,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Cessna,T210L,0.0,0.0,1.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-24-260,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-32-300,0.0,4.0,0.0,0.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-28R-201T,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA23-250,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,IMC,2.0,Reciprocating,Airplane
Convair,340,0.0,0.0,0.0,3.0,Incident,Minor,Cruise,VMC,2.0,Reciprocating,Airplane
Cessna,402,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,2.0,Reciprocating,Airplane
Cessna,C152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-31-350,0.0,0.0,0.0,6.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,1.0,3.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,A36,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Air Tractor,AT-301A,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,150L,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,R172K,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,210D,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,170A,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Mitsubishi,MU-2B-60,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,2.0,Turbo Prop,Airplane
Piper,PA-32-300,0.0,0.0,0.0,4.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,601P,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Piper,PA-31-350,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Descent,VMC,2.0,Reciprocating,Airplane
Cessna,172,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,501,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,2.0,Turbo Jet,Airplane
Piper,PA-28-235,0.0,0.0,0.0,3.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Stinson,108-3,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,340A,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,VMC,2.0,Reciprocating,Airplane
Cessna,411A,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Mooney,M20F,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Aerospatiale,SA316B,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Turbo Shaft,Helicopter
Gulfstream American,AA5A,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Amateur Built,QUICKIE Q2,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,185,0.0,0.0,0.0,3.0,Incident,Minor,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-31-310,8.0,0.0,0.0,0.0,Fatal(8),Destroyed,Takeoff,VMC,2.0,Reciprocating,Airplane
Piper,PA-28-180,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,177RG,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Champion,7FC,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA28-180,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,210,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Aero Commander,680,0.0,0.0,0.0,2.0,Non-Fatal,Destroyed,Standing,UNK,2.0,Reciprocating,Airplane
Piper,PA-28-161,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Cruise,IMC,1.0,Reciprocating,Airplane
Piper,28-140,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Approach,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Beech,G18S,0.0,0.0,0.0,2.0,Incident,Minor,Descent,VMC,2.0,Reciprocating,Airplane
Cessna,U206,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,UNK,1.0,Reciprocating,Airplane
Piper,PA-28-180,0.0,1.0,0.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Cessna,152,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,150J,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Beech,60,0.0,0.0,2.0,2.0,Non-Fatal,Substantial,Landing,IMC,2.0,Reciprocating,Airplane
Cessna,182,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-140,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,172M,0.0,0.0,1.0,3.0,Non-Fatal,Substantial,Taxi,IMC,1.0,Reciprocating,Airplane
Piper,601P,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Climb,VMC,2.0,Reciprocating,Airplane
Piper,PA-28-181,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Piper,PA-22,0.0,0.0,3.0,0.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,170B,0.0,1.0,0.0,1.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Piper,PA-28-151,0.0,0.0,2.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,551,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Takeoff,IMC,2.0,Turbo Fan,Airplane
Piper,601P,0.0,1.0,0.0,0.0,Non-Fatal,Destroyed,Approach,VMC,2.0,Reciprocating,Airplane
Cessna,150,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,22,0.0,1.0,0.0,1.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Mcdonald Douglas,DC-10,0.0,0.0,0.0,136.0,Non-Fatal,Substantial,Standing,VMC,3.0,Turbo Fan,Airplane
Piper,PA-28-180,0.0,3.0,0.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Cessna,P206B,5.0,0.0,0.0,0.0,Fatal(5),Destroyed,Approach,VMC,1.0,Reciprocating,Airplane
Cessna,182L,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Piper,PA-28R-201T,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,IMC,1.0,Reciprocating,Airplane
Piper,PA-44-180,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Takeoff,IMC,2.0,Reciprocating,Airplane
Piper,PA-24-260,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Climb,IMC,1.0,Reciprocating,Airplane
Mooney,M20J,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Approach,IMC,1.0,Reciprocating,Airplane
Cessna,T-337C,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Bell,206B,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Approach,IMC,1.0,Turbo Shaft,Helicopter
Cessna,TU206G,1.0,0.0,0.0,0.0,Fatal(1),Destroyed,Cruise,IMC,1.0,Reciprocating,Airplane
Cessna,172,1.0,2.0,0.0,0.0,Fatal(1),Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Tifft-v,VARIEZE,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Takeoff,VMC,1.0,Reciprocating,Airplane
Piper,PA-25-235,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Maneuvering,VMC,1.0,Reciprocating,Airplane
Aero Commander,560E,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Approach,VMC,2.0,Reciprocating,Airplane
Cessna,182Q,3.0,0.0,0.0,0.0,Fatal(3),Destroyed,Cruise,VMC,1.0,Reciprocating,Airplane
Grumman,AA5,0.0,0.0,0.0,1.0,Non-Fatal,Destroyed,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,411,2.0,0.0,0.0,0.0,Fatal(2),Destroyed,Go-around,IMC,2.0,Reciprocating,Airplane
Aero Commander,680W,0.0,2.0,0.0,0.0,Non-Fatal,Destroyed,Cruise,IMC,2.0,Turbo Prop,Airplane
Piper,PA-24-250,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
Cessna,337,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,2.0,Reciprocating,Airplane
Cessna,182P,0.0,0.0,0.0,3.0,Non-Fatal,Substantial,Cruise,VMC,1.0,Reciprocating,Airplane
North American,AT-6G,0.0,0.0,0.0,1.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Airplane
Cessna,172M,0.0,2.0,0.0,0.0,Non-Fatal,Substantial,Maneuvering,VMC,1.0,Reciprocating,Airplane
Robinson,R-22,0.0,0.0,0.0,2.0,Non-Fatal,Substantial,Landing,VMC,1.0,Reciprocating,Helicopter
